"Term","Catalog.Nbr","Acad.Prog","ID","Grade_numeric","Grade_character"
2015,"A1","CB003",556,71,NA
2015,"A1","CB018",17,71,NA
2015,"A1","EB011",423,52,NA
2015,"A1","CB001",255,34,NA
2015,"A1","CB004",608,54,NA
2015,"A1","CB019",173,77,NA
2015,"A1","CB001",269,NA,"DPR"
2015,"A1","CB001",372,64,NA
2015,"A1","CB019",322,75,NA
2015,"A1","SB001",368,63,NA
2015,"A1","SB001",629,70,NA
2015,"A1","CB019",541,75,NA
2015,"A1","SB001",426,65,NA
2015,"A1","SB001",277,NA,"DPR"
2015,"A1","CB004",619,86,NA
2015,"A1","SB001",3,83,NA
2015,"A1","SB001",585,52,NA
2015,"A1","SB001",363,NA,"UP"
2015,"A1","CB004",397,NA,"INC"
2015,"A1","CB019",522,79,NA
2015,"A1","SB001",449,95,NA
2015,"A1","SB001",365,87,NA
2015,"A1","CB003",382,87,NA
2015,"A1","SB001",231,NA,"AB"
2015,"A1","CB003",468,89,NA
2015,"A1","CB003",549,85,NA
2015,"A1","SB001",630,72,NA
2015,"A1","CB001",587,41,NA
2015,"A1","CB001",621,50,NA
2015,"A1","SB001",633,77,NA
2015,"A1","CB001",428,84,NA
2015,"A1","CB003",448,81,NA
2015,"A1","CB019",507,56,NA
2015,"A1","CB001",594,35,NA
2015,"A1","CB001",546,55,NA
2015,"A1","CB003",407,83,NA
2015,"A1","CB003",171,79,NA
2015,"A1","CB003",430,90,NA
2015,"A1","CB003",396,99,NA
2015,"A1","CB004",487,95,NA
2015,"A1","CB019",533,60,NA
2015,"A1","SB001",183,54,NA
2015,"A1","CB019",532,57,NA
2015,"A1","CB019",538,75,NA
2015,"A1","SB016",325,NA,"DPR"
2015,"A1","SB016",273,NA,"DPR"
2015,"A1","HB001",576,NA,"DPR"
2015,"A1","CB004",431,70,NA
2015,"A1","CB019",521,89,NA
2015,"A1","CB004",27,91,NA
2015,"A1","SB016",235,NA,"DPR"
2015,"A1","CB019",199,79,NA
2015,"A1","SB001",387,50,NA
2015,"A1","CB001",444,60,NA
2015,"A1","CB004",443,72,NA
2015,"A1","CB001",416,NA,"UP"
2015,"A1","CB019",69,89,NA
2015,"A1","CB026",290,87,NA
2015,"A1","CB003",315,84,NA
2015,"A1","CB001",464,54,NA
2015,"A1","CB004",413,65,NA
2015,"A1","SB001",375,66,NA
2015,"A1","CB004",440,27,NA
2015,"A1","CB004",571,72,NA
2015,"A1","SB001",518,73,NA
2015,"A1","CB003",216,73,NA
2015,"A1","CB004",256,84,NA
2015,"A1","CB003",418,96,NA
2015,"A1","CB003",467,94,NA
2015,"A1","CB003",465,89,NA
2015,"A1","SB001",408,62,NA
2015,"A1","CB003",564,89,NA
2015,"A1","CB004",531,85,NA
2015,"A1","CB004",420,57,NA
2015,"A1","CB001",180,NA,"DPR"
2015,"A1","CB004",417,70,NA
2015,"A1","CB019",565,65,NA
2015,"A1","CG031",122,64,NA
2015,"A1","CB004",360,63,NA
2015,"A1","CB004",374,64,NA
2015,"A1","SB001",241,70,NA
2015,"A1","CB003",384,64,NA
2015,"A1","CB004",646,70,NA
2015,"A1","CB003",427,75,NA
2015,"A1","SZ001",12,86,NA
2015,"A1","SB001",623,56,NA
2015,"A1","CB019",463,68,NA
2015,"A1","CB004",477,65,NA
2015,"A1","CB004",409,86,NA
2015,"A1","SB001",287,75,NA
2015,"A1","CB001",156,37,NA
2015,"A1","CB019",550,71,NA
2015,"A1","CB004",492,73,NA
2015,"A1","SB016",357,57,NA
2015,"A1","CB004",366,60,NA
2015,"A1","CB003",373,92,NA
2015,"A1","CB004",472,65,NA
2015,"A1","CB019",432,57,NA
2015,"A1","CB001",390,64,NA
2015,"A1","CB003",526,83,NA
2015,"A1","CB004",475,50,NA
2015,"A1","CB019",395,73,NA
2015,"A1","SB001",456,59,NA
2015,"A1","HB062",346,39,NA
2015,"A1","CB004",583,NA,"UP"
2015,"A1","CB001",308,77,NA
2015,"A1","SB001",393,31,NA
2015,"A1","HB001",491,NA,"DPR"
2015,"A1","SB001",102,NA,"DPR"
2015,"A1","CB001",659,36,NA
2015,"A1","SB001",563,55,NA
2015,"A1","CB003",221,NA,"DPR"
2015,"A1","CB001",505,50,NA
2015,"A1","CB001",230,58,NA
2015,"A1","HB001",504,NA,"INC"
2015,"A1","SB001",436,60,NA
2015,"A1","CB001",110,62,NA
2015,"A1","CB003",392,68,NA
2015,"A1","CB004",313,NA,"DPR"
2015,"A1","HB001",138,25,NA
2015,"A1","CB001",298,65,NA
2015,"A1","CB001",639,78,NA
2015,"A1","SB001",593,89,NA
2015,"A1","SB001",590,42,NA
2015,"A1","SB001",604,75,NA
2015,"A1","CB001",626,70,NA
2015,"A1","SB016",349,NA,"UP"
2015,"A1","CB003",403,82,NA
2015,"A1","CB003",131,85,NA
2015,"A1","CB001",648,32,NA
2015,"A1","CB003",517,92,NA
2015,"A1","CB001",625,32,NA
2015,"A1","CB003",508,73,NA
2015,"A1","CB004",437,61,NA
2015,"A1","CB004",339,NA,"UP"
2015,"A1","CB001",1,NA,"UP"
2015,"A1","HB001",572,31,NA
2015,"A1","SZ092",343,NA,"DPR"
2015,"A1","SB016",321,60,NA
2015,"A1","CB019",605,75,NA
2015,"A1","CB019",136,80,NA
2015,"A1","CB001",380,63,NA
2015,"A1","CB019",519,64,NA
2015,"A1","CB004",174,56,NA
2015,"A1","CB001",123,26,NA
2015,"A1","CB019",530,76,NA
2015,"A1","CB019",369,90,NA
2015,"A1","CB003",624,82,NA
2015,"A1","CB004",643,42,NA
2015,"A1","CB011",473,NA,"DPR"
2015,"A1","CB001",476,50,NA
2015,"A1","CB001",599,62,NA
2015,"A1","CB004",569,60,NA
2015,"A1","CB004",297,59,NA
2015,"A1","CB019",239,88,NA
2015,"A1","CB001",553,58,NA
2015,"A1","CB011",87,55,NA
2015,"A1","CB019",212,83,NA
2015,"A1","CB001",278,81,NA
2015,"A1","CB004",259,60,NA
2015,"A1","CB004",168,56,NA
2015,"A1","CB001",146,57,NA
2015,"A1","SB001",289,42,NA
2015,"A1","CB011",652,33,NA
2015,"A1","CB023",614,31,NA
2015,"A1","CB001",319,72,NA
2015,"A1","SB001",13,73,NA
2015,"A1","CB001",644,NA,"UP"
2015,"A1","CB003",602,NA,"DPR"
2015,"A1","CB004",265,76,NA
2015,"A1","CB004",169,64,NA
2015,"A1","CB001",354,21,NA
2015,"A1","CB001",411,70,NA
2015,"A1","CB019",389,66,NA
2015,"A1","SB001",601,42,NA
2015,"A1","CB019",655,82,NA
2015,"A1","CB003",446,70,NA
2015,"A1","SB001",445,NA,"UP"
2015,"A1","CB003",574,91,NA
2015,"A1","CB019",615,70,NA
2015,"A1","CB003",466,82,NA
2015,"A1","CB003",433,63,NA
2015,"A1","CB001",144,70,NA
2015,"A1","CB004",211,26,NA
2015,"A1","CB019",514,60,NA
2015,"A1","CB004",447,NA,"DPR"
2015,"A1","SB001",429,51,NA
2015,"A1","CB019",459,81,NA
2015,"A1","CB003",622,89,NA
2015,"A1","CB004",498,80,NA
2015,"A1","SB001",378,66,NA
2015,"A1","CB004",441,45,NA
2015,"A1","CB001",47,71,NA
2015,"A1","CB001",627,36,NA
2015,"A1","CB003",525,NA,"DPR"
2015,"A1","CB019",394,81,NA
2015,"A1","CB019",376,75,NA
2015,"A1","CB004",566,55,NA
2015,"A1","CB003",560,24,NA
2015,"A1","CB004",527,52,NA
2015,"A1","CB004",385,85,NA
2015,"A1","SB001",638,81,NA
2015,"A1","CB001",658,NA,"UP"
2015,"A1","SB001",157,69,NA
2015,"A1","CB001",480,75,NA
2015,"A1","CB004",501,56,NA
2015,"A1","CB004",329,57,NA
2015,"A1","EB010",516,51,NA
2015,"A1","SB001",391,NA,"INC"
2015,"A1","CB001",570,22,NA
2015,"A1","CB003",499,89,NA
2015,"A1","CB003",364,73,NA
2015,"A1","CB001",656,62,NA
2015,"A1","CB004",303,77,NA
2015,"A1","CB004",185,51,NA
2015,"A1","CB004",410,64,NA
2015,"A1","SB001",597,42,NA
2015,"A1","CB004",434,56,NA
2015,"A1","CB004",405,65,NA
2015,"A1","CB019",415,68,NA
2015,"A1","SB016",320,51,NA
2015,"A1","CB019",419,77,NA
2015,"A1","CB001",402,60,NA
2015,"A1","CB004",545,67,NA
2015,"A1","CB020",257,78,NA
2015,"A1","CB004",400,38,NA
2015,"A1","CB003",486,86,NA
2015,"A1","CB003",450,89,NA
